full_name,H,albedo,a,e,i,long_node,arg_peri,anomaly,peri,apo,period
  7358 Oze (1995 YA3),14.74,,2.198416018,0.502432222,4.661754771,265.4771111,92.19874479,347.8884155,1.093860972,3.302971063,3.259665393
  7474 (1992 TC),18,,1.565568914,0.292268938,7.088074536,88.61880374,275.6250991,243.8060163,1.10800175,2.023136077,1.958919035
  7480 Norwan (1994 PC),17.06,,1.567713614,0.317012283,9.453920373,124.3768123,256.840035,213.7021881,1.070729142,2.064698086,1.962945748
  7482 (1994 PC1),16.5,0.277,1.34613994,0.328451515,33.48658323,117.8818138,47.63651252,208.3698272,0.903998238,1.788281643,1.561865088
  7753 (1988 XB),17.96,,1.467143038,0.481587433,3.124492992,73.40235266,280.0437554,148.0916773,0.760585388,2.173700687,1.777120545
  7822 (1991 CS),17.32,0.075,1.122930358,0.164671367,37.12217778,156.8514295,249.4247537,264.8523572,0.938015882,1.307844835,1.189973902
  7839 (1994 ND),17.8,0.181,2.16581244,0.518644161,27.11458182,102.5365478,228.2933171,155.5510857,1.042526464,3.289098415,3.187421282
  7888 (1993 UC),15.09,0.257,2.435612573,0.664059681,26.08469652,165.9063053,323.046912,72.00480982,0.818220464,4.053004683,3.801198186
  7889 (1994 LX),15.15,0.452,1.261532691,0.346190461,36.9098017,111.2763394,349.1773092,219.6293593,0.824802108,1.698263275,1.416954701
  7977 (1977 QQ5),15.15,,2.226433663,0.465998695,25.16678494,134.1614988,248.0422119,56.13173677,1.188918482,3.263948845,3.322177573
  8013 Gordonmoore (1990 KA),17,,2.199573753,0.431652483,7.570396618,105.5610044,146.7652638,187.7597281,1.25012228,3.149025225,3.262240651
  8014 (1990 MF),18.95,,1.747321945,0.456207555,1.866715178,209.864769,114.7125628,137.6223159,0.950180472,2.544463417,2.309763953
  8034 Akka (1992 LR),17.83,,1.830185317,0.409172613,2.023928551,232.8506101,68.20573895,245.6284678,1.081323609,2.579047025,2.476000924
  8035 (1992 TB),17.1,,1.34207997,0.462380677,28.30600482,185.629784,6.053650118,330.5317639,0.721528125,1.962631814,1.554804519
  8037 (1993 HO1),16.54,,1.985786337,0.418562474,5.907519544,22.40595397,105.722368,67.58078636,1.154610694,2.816961979,2.798381877
  8176 (1991 WA),16.85,,1.574748768,0.643250124,39.59757499,66.52597133,241.8837305,20.35920466,0.561791428,2.587706109,1.976173714
  8201 (1994 AH2),15.7,0.154,2.537624037,0.706719113,9.550221574,164.0987916,25.11618712,265.9841642,0.744236629,4.331011444,4.042491554
  8507 (1991 CB1),17.21,,1.687286448,0.594639555,14.58962493,317.4158654,345.7824218,187.876674,0.683959186,2.69061371,2.191752093
  8566 (1996 EN),16.39,0.217,1.506430681,0.430392113,37.9776573,164.1245886,125.1465939,168.2415881,0.858074797,2.154786564,1.848978795
  8567 (1996 HW1),15.24,0.156,2.045815039,0.44930505,8.450147907,177.1009009,177.2681425,133.9114106,1.12662001,2.965010068,2.926225243
